SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES,MARKET_CAP,SOURCE_URL,TRADINGVIEW_LINK
KPRMILL,2025-09-16,1046.35,1090.65,51127,4.233764992593319,14160.6,3.610510854059856,"37,808",https://www.screener.in/company/KPRMILL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:KPRMILL/
KREBSBIO,2025-09-16,75.0,78.75,25728,5.0,1208.6,21.28744001323846,175,https://www.screener.in/company/KREBSBIO/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:KREBSBIO/
KRT,2025-09-16,109.22,111.24,89115,1.8494781175608828,26622.0,3.3474194275411318,"49,377",https://www.screener.in/company/KRT/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:KRT/
LAXMIDENTL,2025-09-16,303.25,363.05,1900087,19.71970321516901,303151.2,6.267786503896406,"1,933",https://www.screener.in/company/LAXMIDENTL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:LAXMIDENTL/
LTIM,2025-09-16,5339.55,5372.75,50216,0.6217752432321042,8840.8,5.680028956655507,"1,60,490",https://www.screener.in/company/LTIM/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:LTIM/
M&MFIN,2025-09-16,270.25,278.7,338479,3.1267345050878776,64874.8,5.21741878202322,"39,100",https://www.screener.in/company/M&MFIN/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:M&MFIN/
MANORAMA,2025-09-16,1365.6,1399.75,21412,2.500732278851794,4601.6,4.653164116828929,"8,421",https://www.screener.in/company/MANORAMA/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:MANORAMA/
MGEL,2025-09-16,14.99,16.01,134354,6.804536357571724,43330.6,3.100672503957942,522,https://www.screener.in/company/MGEL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:MGEL/
MGL,2025-09-16,1300.5,1363.9,82601,4.875048058439068,9835.8,8.397995079200472,"13,447",https://www.screener.in/company/MGL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:MGL/
MIRZAINT,2025-09-16,32.95,37.85,463296,14.871016691957506,15529.4,29.8334771465736,582,https://www.screener.in/company/MIRZAINT/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:MIRZAINT/
MVGJL,2025-09-16,196.25,200.8,22791,2.3184713375796235,5284.8,4.31255676657584,"1,003",https://www.screener.in/company/MVGJL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:MVGJL/
NCC,2025-09-16,212.1,216.05,1011211,1.8623290900518703,141195.2,7.161794451936043,"13,543",https://www.screener.in/company/NCC/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:NCC/
NRBBEARING,2025-09-16,281.6,287.95,51445,2.254971590909079,10774.6,4.774655207617916,"2,735",https://www.screener.in/company/NRBBEARING/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:NRBBEARING/
NTPCGREEN,2025-09-16,103.6,105.25,2217133,1.5926640926640985,401582.4,5.520991457792971,"87,801",https://www.screener.in/company/NTPCGREEN/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:NTPCGREEN/
ONMOBILE,2025-09-16,54.3,57.09,195143,5.1381215469613375,22866.4,8.534049959766294,666,https://www.screener.in/company/ONMOBILE/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ONMOBILE/
ORIENTCEM,2025-09-16,222.45,226.2,48091,1.685772083614295,14825.2,3.243868548147748,"4,702",https://www.screener.in/company/ORIENTCEM/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ORIENTCEM/
ORIENTTECH,2025-09-16,322.45,357.25,274572,10.792370910218642,23885.0,11.495583001884029,"1,492",https://www.screener.in/company/ORIENTTECH/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ORIENTTECH/
PAVNAIND,2025-09-16,34.34,40.42,933983,17.705299941758877,8536.6,109.40924958414357,573,https://www.screener.in/company/PAVNAIND/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:PAVNAIND/
PNGJL,2025-09-16,600.8,633.7,133790,5.476031957390163,19046.0,7.024572088627533,"8,604",https://www.screener.in/company/PNGJL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:PNGJL/
RAMCOSYS,2025-09-16,474.15,497.85,27338,4.99841822208163,9043.2,3.0230449398443024,"1,953",https://www.screener.in/company/RAMCOSYS/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:RAMCOSYS/
REDINGTON,2025-09-16,241.45,289.4,8358800,19.859184096086143,60713.6,137.67590786907712,"22,855",https://www.screener.in/company/REDINGTON/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:REDINGTON/
RPTECH,2025-09-16,300.95,314.55,43404,4.5190230935371405,12392.2,3.50252578234696,"2,081",https://www.screener.in/company/RPTECH/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:RPTECH/
RUBYMILLS,2025-09-16,225.1,250.0,17892,11.061750333185254,745.6,23.996781115879827,794,https://www.screener.in/company/RUBYMILLS/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:RUBYMILLS/
RUCHIRA,2025-09-16,151.2,156.45,113629,3.4722222222222223,19923.4,5.703293614543702,496,https://www.screener.in/company/RUCHIRA/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:RUCHIRA/
RVHL,2025-09-16,52.71,63.25,50725,19.99620565357617,15715.0,3.2278078269169583,379,https://www.screener.in/company/RVHL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:RVHL/
SARVESHWAR,2025-09-16,7.68,8.15,3865986,6.119791666666676,1043108.8,3.706215497367101,931,https://www.screener.in/company/SARVESHWAR/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:SARVESHWAR/
